model,mae,rmse
TFT,14.421938917037755,20.04664600590149
XGBoost direct 24h,8.049877301437741,11.371512758036443
Persistence 24h,7.969877740502595,12.65155876992605
Rolling mean 24h,10.771508502754225,14.71625124610615
