model,mae,rmse,mape
TFT,11.615320822269425,17.624082058887353,64.77618122088286
Persistence 24h,7.063536383633564,11.396384212557672,87.55793336681408
Rolling mean 24h,5.68201258083088,9.13040288250275,81.97337838280842
