model,mae,rmse,mape
TFT,14.421938917037757,20.04664600590149,66.82649327839331
XGBoost direct 24h,8.049877301437741,11.371512758036443,71.47633107487621
Persistence 24h,7.969877740502595,12.65155876992605,71.65440528608366
Rolling mean 24h,10.771508502754225,14.71625124610615,109.3923767738884
